	index	pp	adjusted_reading_score	subject	raw_ravens_mean	ravens_intercept	raw_span_mean	span_intercept	raw_reading_score	task_z	ravens_z	span_z
0	0	low_1	-0.8323757501247615	1.0	0.2777777777777778	0.3219632904565635	4.5	0.5072329594597307	12.5	0.0	0.38612573619841145	0.810943145768888
1	1	low_10	2.0601451739092136	40.0	0.16666666666666666	-0.12934306867755074	3.5	0.0038086082664143812	45.5	0.0	-0.30673539791462595	0.04014570028558863
2	2	low_11	0.6425328654754807	41.0	0.2222222222222222	0.16225959658809064	4.5	0.4900240449143898	32.5	0.0	0.03969516914189268	0.810943145768888
3	3	low_12	0.19682424266167475	42.0	0.2777777777777778	0.40366759405055497	4.0	0.28973489621926185	22.5	0.0	0.38612573619841145	0.4255444230272383
4	4	low_13	0.30752558633267735	43.0	0.1111111111111111	-0.4982051448807092	5.0	0.6962435357701025	23.5	0.0	-0.6531659649711445	1.1963418685105378
5	5	low_14	-1.4895073552857603	44.0	0.3888888888888889	0.7662159512626756	4.5	0.424910899814448	10.5	0.0	1.0789868703114487	0.810943145768888
6	6	low_15	0.7296634072130288	52.0	0.2222222222222222	0.0648254869291538	4.0	0.2219547449288033	28.0	0.0	0.03969516914189268	0.4255444230272383
7	7	low_16	1.9338163844354672	55.0	0.1111111111111111	-0.4278544003798413	3.5	-0.0048019380232056106	36.0	0.0	-0.6531659649711445	0.04014570028558863
8	8	low_17	1.2768214878038726	57.0	0.05555555555555555	-0.6394602292014397	4.5	0.4910240464961406	30.5	0.0	-0.9995965320276632	0.810943145768888
9	9	low_18	3.0618150651318397	60.0	0.2222222222222222	0.06208571749164449	2.0	-0.626391814360107	51.0	0.0	0.03969516914189268	-1.1160504679393606
10	10	low_19	2.220148926921627	62.0	0.0	-1.1549595743056131	1.0	-1.1019008598344386	9.5	0.0	-1.3460270990841818	-1.88684791342266
11	11	low_2	-0.09292893779272937	15.0	0.2222222222222222	0.13668005904836633	5.0	0.6650477947752215	25.0	0.0	0.03969516914189268	1.1963418685105378
12	12	low_20	2.974301037721367	64.0	0.05555555555555555	-0.7206177294437137	4.0	0.26123282442127005	63.0	0.0	-0.9995965320276632	0.4255444230272383
13	13	low_21	0.7327779970813899	65.0	0.1111111111111111	-0.41741993612057104	4.0	0.26533847743142625	20.5	0.0	-0.6531659649711445	0.4255444230272383
14	14	low_22	3.7088974639007435	67.0	0.05555555555555555	-0.7692245355295699	2.0	-0.6426937465858651	50.5	0.0	-0.9995965320276632	-1.1160504679393606
15	15	low_23	-0.6234107969203286	70.0	0.5555555555555556	1.3951698802541068	4.5	0.4516829426567379	37.0	0.0	2.1182785714810044	0.810943145768888
16	16	low_24	2.364884991171492	71.0	0.2222222222222222	0.10735152407573477	2.5	-0.40724958974308295	42.0	0.0	0.03969516914189268	-0.7306517451977108
17	17	low_25	1.4852618948542	73.0	0.2222222222222222	0.12096923324735707	2.0	-0.6584560877493508	19.0	0.0	0.03969516914189268	-1.1160504679393606
18	18	low_26	0.8302834992460003	74.0	0.1111111111111111	-0.3407540588663527	3.5	0.02225526107371389	16.0	0.0	-0.6531659649711445	0.04014570028558863
19	19	low_27	2.281982019499094	75.0	0.16666666666666666	-0.17923708454309262	3.5	0.01084487998530248	49.5	0.0	-0.30673539791462595	0.04014570028558863
20	20	low_28	2.2752521945867095	77.0	0.1111111111111111	-0.4067835884301716	3.0	-0.2494381308604692	36.0	0.0	-0.6531659649711445	-0.3452530224560611
21	21	low_29	0.37338003464724845	80.0	0.3888888888888889	0.8161489872027285	3.5	0.023871912712413183	28.5	0.0	1.0789868703114487	0.04014570028558863
22	22	low_3	0.3508017113312696	19.0	0.1111111111111111	-0.3767875628645001	2.5	-0.4157193197396587	6.5	0.0	-0.6531659649711445	-0.7306517451977108
23	23	low_30	0.2819594018148768	81.0	0.3888888888888889	0.7400256310897291	4.5	0.4782572902798008	39.5	0.0	1.0789868703114487	0.810943145768888
24	24	low_4	0.29026085367197463	23.0	0.3888888888888889	0.8147090920847121	5.5	0.8895787886686009	55.5	0.0	1.0789868703114487	1.5817405912521876
25	25	low_5	2.1078017185707187	25.0	0.05555555555555555	-0.7063402614732746	3.0	-0.22072843292355127	29.0	0.0	-0.9995965320276632	-0.3452530224560611
26	26	low_6	0.9997290812434303	28.0	0.1111111111111111	-0.4986228900678813	1.5	-0.8768911084446052	6.0	0.0	-0.6531659649711445	-1.5014491906810101
27	27	low_7	0.47972991552664124	29.0	0.16666666666666666	-0.12862707987921507	3.0	-0.15260875254305173	11.0	0.0	-0.30673539791462595	-0.3452530224560611
28	28	low_8	2.275953833481359	31.0	0.16666666666666666	-0.009449579723070478	2.5	-0.4212509284750805	35.0	0.0	-0.30673539791462595	-0.7306517451977108
29	29	low_9	0.2279865354652144	39.0	0.16666666666666666	-0.1748809478458253	4.0	0.2981517139111143	16.5	0.0	-0.30673539791462595	0.4255444230272383
30	30	n_1	-3.269657902020551	7.0	0.16666666666666666	-0.13713765153737922	3.5	0.0708526673830765	0.0	0.0	-0.30673539791462595	0.04014570028558863
31	31	n_10	-3.185348898157832	35.0	0.05555555555555555	-0.7512176619842412	4.0	0.26991560147043114	0.0	0.0	-0.9995965320276632	0.4255444230272383
32	32	n_11	-2.968130336748259	36.0	0.16666666666666666	-0.0979211957643944	3.0	-0.21557622394114206	0.0	0.0	-0.30673539791462595	-0.3452530224560611
33	33	n_12	-1.9603735771052317	37.0	0.05555555555555555	-0.7366791238430586	1.5	-0.8582789471535983	0.0	0.0	-0.9995965320276632	-1.5014491906810101
34	34	n_13	-1.8891817067608452	38.0	0.05555555555555555	-0.6678162093583029	1.5	-0.92701089192616	0.0	0.0	-0.9995965320276632	-1.5014491906810101
35	35	n_14	-3.8546070561901917	46.0	0.2777777777777778	0.36400546438446296	4.0	0.2687422100013952	0.0	0.0	0.38612573619841145	0.4255444230272383
36	36	n_15	-4.24931684611802	48.0	0.1111111111111111	-0.4362258160756807	5.5	0.921087838379294	0.0	0.0	-0.6531659649711445	1.5817405912521876
37	37	n_16	-2.8969783389650887	50.0	0.1111111111111111	-0.41794961317060203	3.0	-0.1698321556991278	0.0	0.0	-0.6531659649711445	-0.3452530224560611
38	38	n_17	-2.3724279928108585	53.0	0.1111111111111111	-0.4271317243105388	2.0	-0.6246607522337826	0.0	0.0	-0.6531659649711445	-1.1160504679393606
39	39	n_18	0.5180502887436587	61.0	0.2777777777777778	0.4553676954300488	1.0	-1.112751268811662	5.5	0.0	0.38612573619841145	-1.88684791342266
40	40	n_2	-2.0028685548487655	17.0	0.1111111111111111	-0.3814350346626463	1.0	-1.0740447428474873	0.0	0.0	-0.6531659649711445	-1.88684791342266
41	41	n_20	-3.2409300101915903	78.0	0.16666666666666666	-0.13846447797497952	3.5	0.044562892282951294	0.0	0.0	-0.30673539791462595	0.04014570028558863
42	42	n_21	-3.2197947970527165	79.0	0.1111111111111111	-0.3876431071291524	3.5	0.01150204866424187	0.0	0.0	-0.6531659649711445	0.04014570028558863
43	43	n_22	0.6206013317389775	82.0	0.16666666666666666	-0.2247885457446852	2.5	-0.4765472767553161	9.5	0.0	-0.30673539791462595	-0.7306517451977108
44	44	n_23	0.8016174494040502	83.0	0.0	-0.9906339375049792	0.0	-1.5174454721756905	1.5	0.0	-1.3460270990841818	-2.657645358905959
45	45	n_24	-2.146060773805374	84.0	0.05555555555555555	-0.7312518008484981	3.5	-0.0024202317747603623	0.5	0.0	-0.9995965320276632	0.04014570028558863
46	46	n_25	1.5269797980288968	85.0	0.16666666666666666	-0.06162446476112926	1.5	-0.8727629632447453	12.0	0.0	-0.30673539791462595	-1.5014491906810101
47	47	n_26	-0.1728052119922583	86.0	0.2222222222222222	0.10130129187218227	3.5	0.06378445745957206	10.5	0.0	0.03969516914189268	0.04014570028558863
48	48	n_27	-0.6700488888312637	87.0	0.1111111111111111	-0.4082985604747984	3.5	0.030298674763053805	4.0	0.0	-0.6531659649711445	0.04014570028558863
49	49	n_28	-1.1091688116430358	88.0	0.1111111111111111	-0.40411720306179255	1.0	-1.1297048946169577	0.5	0.0	-0.6531659649711445	-1.88684791342266
50	50	n_29	-2.265467359277542	89.0	0.16666666666666666	-0.11687034693677978	1.5	-0.9003927339729174	0.0	0.0	-0.30673539791462595	-1.5014491906810101
51	51	n_3	-2.476630630882589	21.0	0.2222222222222222	0.14824369990543929	1.5	-0.9105910662749528	0.0	0.0	0.03969516914189268	-1.5014491906810101
52	52	n_30	-2.7051801370421966	90.0	0.05555555555555555	-0.76854117352541	3.0	-0.17583336354362397	0.0	0.0	-0.9995965320276632	-0.3452530224560611
53	53	n_32	-0.7930424169094858	91.0	0.05555555555555555	-0.7271806970237593	4.5	0.4255929121912465	6.0	0.0	-0.9995965320276632	0.810943145768888
54	54	n_33	-0.47985030004513707	92.0	0.1111111111111111	-0.451509126196949	2.0	-0.6554151532010455	2.0	0.0	-0.6531659649711445	-1.1160504679393606
55	55	n_34	-1.7482116000897738	93.0	0.1111111111111111	-0.39588555024395067	3.5	-0.02376261615207476	1.5	0.0	-0.6531659649711445	0.04014570028558863
56	56	n_35	-1.952611664836839	94.0	0.1111111111111111	-0.3762209099696063	1.0	-1.0955245707863428	0.0	0.0	-0.6531659649711445	-1.88684791342266
57	57	n_36	-2.8398591131483126	95.0	0.1111111111111111	-0.4466818501593295	3.0	-0.2301206765732968	0.0	0.0	-0.6531659649711445	-0.3452530224560611
58	58	n_4	-0.6574941372120531	26.0	0.16666666666666666	-0.09240141326814212	3.5	-0.007246316825977983	5.5	0.0	-0.30673539791462595	0.04014570028558863
59	59	n_5	-2.3325527079181345	5.0	0.05555555555555555	-0.7153119541467436	2.0	-0.6005947831578766	0.0	0.0	-0.9995965320276632	-1.1160504679393606
60	60	n_6	-2.4845927602327382	30.0	0.2222222222222222	0.15564206581147302	1.5	-0.8587719773280442	0.0	0.0	0.03969516914189268	-1.5014491906810101
61	61	n_7	-3.4773082283300125	32.0	0.05555555555555555	-0.6794575740503546	4.5	0.4870422316344893	0.0	0.0	-0.9995965320276632	0.810943145768888
62	62	n_8	-3.1733068534572624	33.0	0.16666666666666666	-0.16541069904525907	3.0	-0.22694618711537795	0.0	0.0	-0.30673539791462595	-0.3452530224560611
63	63	n_9	1.163307727799597	34.0	0.0	-1.0176819390631886	3.0	-0.23501455498206725	11.5	0.0	-1.3460270990841818	-0.3452530224560611
64	64	y_1	0.45087164099804067	6.0	0.6111111111111112	1.5189530536354492	4.0	0.2705065962142481	57.5	0.0	2.4647091385375233	0.4255444230272383
65	65	y_10	2.3942558680157187	13.0	0.16666666666666666	-0.10114440605001508	3.5	0.08645740628661548	52.5	0.0	-0.30673539791462595	0.04014570028558863
66	66	y_11	2.252992106941072	14.0	0.16666666666666666	-0.11726346049446068	3.0	-0.19546131580848505	42.0	0.0	-0.30673539791462595	-0.3452530224560611
67	67	y_12	3.981039343560536	16.0	0.2777777777777778	0.39929064115630575	0.0	-1.5445441167717444	48.0	0.0	0.38612573619841145	-2.657645358905959
68	68	y_13	0.7082260363038279	18.0	0.3888888888888889	0.7868126087606184	4.0	0.2561632761970374	42.0	0.0	1.0789868703114487	0.4255444230272383
