	index	pp	adjusted_reading_score	subject	raw_ravens_mean	ravens_intercept	raw_span_mean	span_intercept	raw_reading_score	task_z	ravens_z	span_z
0	0	low_1	-0.283	1.0	0.2777777777777778	0.344	4.5	0.473	12.5	0.0	0.38612573619841145	0.810943145768888
1	1	low_10	2.224	40.0	0.16666666666666666	-0.166	3.5	0.023	45.5	0.0	-0.30673539791462595	0.04014570028558863
2	2	low_11	1.313	41.0	0.2222222222222222	0.10099999999999999	4.5	0.46799999999999997	32.5	0.0	0.03969516914189268	0.810943145768888
3	3	low_12	0.451	42.0	0.2777777777777778	0.337	4.0	0.247	22.5	0.0	0.38612573619841145	0.4255444230272383
4	4	low_13	1.506	43.0	0.1111111111111111	-0.456	5.0	0.688	23.5	0.0	-0.6531659649711445	1.1963418685105378
5	5	low_14	-1.144	44.0	0.3888888888888889	0.782	4.5	0.466	10.5	0.0	1.0789868703114487	0.810943145768888
6	6	low_15	1.09	52.0	0.2222222222222222	0.098	4.0	0.24600000000000002	28.0	0.0	0.03969516914189268	0.4255444230272383
7	7	low_16	2.14	55.0	0.1111111111111111	-0.45399999999999996	3.5	0.024	36.0	0.0	-0.6531659649711445	0.04014570028558863
8	8	low_17	2.211	57.0	0.05555555555555555	-0.773	4.5	0.46799999999999997	30.5	0.0	-0.9995965320276632	0.810943145768888
9	9	low_18	2.126	60.0	0.2222222222222222	0.1	2.0	-0.644	51.0	0.0	0.03969516914189268	-1.1160504679393606
10	10	low_19	1.052	62.0	0.0	-1.14	1.0	-1.084	9.5	0.0	-1.3460270990841818	-1.88684791342266
11	11	low_2	0.926	15.0	0.2222222222222222	0.09699999999999999	5.0	0.6920000000000001	25.0	0.0	0.03969516914189268	1.1963418685105378
12	12	low_20	3.632	64.0	0.05555555555555555	-0.777	4.0	0.245	63.0	0.0	-0.9995965320276632	0.4255444230272383
13	13	low_21	1.323	65.0	0.1111111111111111	-0.45799999999999996	4.0	0.244	20.5	0.0	-0.6531659649711445	0.4255444230272383
14	14	low_22	3.096	67.0	0.05555555555555555	-0.784	2.0	-0.643	50.5	0.0	-0.9995965320276632	-1.1160504679393606
15	15	low_23	-0.465	70.0	0.5555555555555556	1.379	4.5	0.469	37.0	0.0	2.1182785714810044	0.810943145768888
16	16	low_24	1.744	71.0	0.2222222222222222	0.098	2.5	-0.42100000000000004	42.0	0.0	0.03969516914189268	-0.7306517451977108
17	17	low_25	0.562	73.0	0.2222222222222222	0.099	2.0	-0.64	19.0	0.0	0.03969516914189268	-1.1160504679393606
18	18	low_26	1.008	74.0	0.1111111111111111	-0.45399999999999996	3.5	0.022000000000000002	16.0	0.0	-0.6531659649711445	0.04014570028558863
19	19	low_27	2.394	75.0	0.16666666666666666	-0.165	3.5	0.024	49.5	0.0	-0.30673539791462595	0.04014570028558863
20	20	low_28	2.139	77.0	0.1111111111111111	-0.455	3.0	-0.198	36.0	0.0	-0.6531659649711445	-0.3452530224560611
21	21	low_29	0.121	80.0	0.3888888888888889	0.7809999999999999	3.5	0.023	28.5	0.0	1.0789868703114487	0.04014570028558863
22	22	low_3	-0.031	19.0	0.1111111111111111	-0.452	2.5	-0.419	6.5	0.0	-0.6531659649711445	-0.7306517451977108
23	23	low_30	0.64	81.0	0.3888888888888889	0.7859999999999999	4.5	0.47100000000000003	39.5	0.0	1.0789868703114487	0.810943145768888
24	24	low_4	1.327	23.0	0.3888888888888889	0.782	5.5	0.91	55.5	0.0	1.0789868703114487	1.5817405912521876
25	25	low_5	2.134	25.0	0.05555555555555555	-0.7759999999999999	3.0	-0.196	29.0	0.0	-0.9995965320276632	-0.3452530224560611
26	26	low_6	-0.118	28.0	0.1111111111111111	-0.457	1.5	-0.865	6.0	0.0	-0.6531659649711445	-1.5014491906810101
27	27	low_7	0.232	29.0	0.16666666666666666	-0.16399999999999998	3.0	-0.195	11.0	0.0	-0.30673539791462595	-0.3452530224560611
28	28	low_8	1.763	31.0	0.16666666666666666	-0.16699999999999998	2.5	-0.41600000000000004	35.0	0.0	-0.30673539791462595	-0.7306517451977108
29	29	low_9	0.714	39.0	0.16666666666666666	-0.166	4.0	0.24600000000000002	16.5	0.0	-0.30673539791462595	0.4255444230272383
30	30	n_1	-3.609	7.0	0.16666666666666666	-0.16899999999999998	3.5	0.024	0.0	0.0	-0.30673539791462595	0.04014570028558863
31	31	n_10	-3.138	35.0	0.05555555555555555	-0.779	4.0	0.249	0.0	0.0	-0.9995965320276632	0.4255444230272383
32	32	n_11	-3.604	36.0	0.16666666666666666	-0.16399999999999998	3.0	-0.20199999999999999	0.0	0.0	-0.30673539791462595	-0.3452530224560611
33	33	n_12	-3.127	37.0	0.05555555555555555	-0.774	1.5	-0.861	0.0	0.0	-0.9995965320276632	-1.5014491906810101
34	34	n_13	-3.138	38.0	0.05555555555555555	-0.773	1.5	-0.8640000000000001	0.0	0.0	-0.9995965320276632	-1.5014491906810101
35	35	n_14	-4.106	46.0	0.2777777777777778	0.34	4.0	0.243	0.0	0.0	0.38612573619841145	0.4255444230272383
36	36	n_15	-3.366	48.0	0.1111111111111111	-0.452	5.5	0.912	0.0	0.0	-0.6531659649711445	1.5817405912521876
37	37	n_16	-3.358	50.0	0.1111111111111111	-0.456	3.0	-0.191	0.0	0.0	-0.6531659649711445	-0.3452530224560611
38	38	n_17	-3.4	53.0	0.1111111111111111	-0.46	2.0	-0.6459999999999999	0.0	0.0	-0.6531659649711445	-1.1160504679393606
39	39	n_18	-1.195	61.0	0.2777777777777778	0.341	1.0	-1.087	5.5	0.0	0.38612573619841145	-1.88684791342266
40	40	n_2	-3.352	17.0	0.1111111111111111	-0.45399999999999996	1.0	-1.085	0.0	0.0	-0.6531659649711445	-1.88684791342266
41	41	n_20	-3.612	78.0	0.16666666666666666	-0.166	3.5	0.021	0.0	0.0	-0.30673539791462595	0.04014570028558863
42	42	n_21	-3.379	79.0	0.1111111111111111	-0.457	3.5	0.026000000000000002	0.0	0.0	-0.6531659649711445	0.04014570028558863
43	43	n_22	0.063	82.0	0.16666666666666666	-0.168	2.5	-0.423	9.5	0.0	-0.30673539791462595	-0.7306517451977108
44	44	n_23	-0.926	83.0	0.0	-1.138	0.0	-1.5290000000000001	1.5	0.0	-1.3460270990841818	-2.657645358905959
45	45	n_24	-2.182	84.0	0.05555555555555555	-0.7759999999999999	3.5	0.023	0.5	0.0	-0.9995965320276632	0.04014570028558863
46	46	n_25	0.33	85.0	0.16666666666666666	-0.17	1.5	-0.8640000000000001	12.0	0.0	-0.30673539791462595	-1.5014491906810101
47	47	n_26	-0.155	86.0	0.2222222222222222	0.10099999999999999	3.5	0.025	10.5	0.0	0.03969516914189268	0.04014570028558863
48	48	n_27	-0.556	87.0	0.1111111111111111	-0.45399999999999996	3.5	0.021	4.0	0.0	-0.6531659649711445	0.04014570028558863
49	49	n_28	-2.448	88.0	0.1111111111111111	-0.455	1.0	-1.085	0.5	0.0	-0.6531659649711445	-1.88684791342266
50	50	n_29	-3.615	89.0	0.16666666666666666	-0.162	1.5	-0.861	0.0	0.0	-0.30673539791462595	-1.5014491906810101
51	51	n_3	-3.858	21.0	0.2222222222222222	0.096	1.5	-0.8640000000000001	0.0	0.0	0.03969516914189268	-1.5014491906810101
52	52	n_30	-3.141	90.0	0.05555555555555555	-0.774	3.0	-0.198	0.0	0.0	-0.9995965320276632	-0.3452530224560611
53	53	n_32	0.209	91.0	0.05555555555555555	-0.778	4.5	0.47100000000000003	6.0	0.0	-0.9995965320276632	0.810943145768888
54	54	n_33	-1.266	92.0	0.1111111111111111	-0.45399999999999996	2.0	-0.644	2.0	0.0	-0.6531659649711445	-1.1160504679393606
55	55	n_34	-1.547	93.0	0.1111111111111111	-0.462	3.5	0.025	1.5	0.0	-0.6531659649711445	0.04014570028558863
