	index	pp	ravens_intercept	reading_z	raw_ravens_mean
0	0	low_1	0.344	-0.3289126251610861	0.2777777777777778
1	1	low_10	-0.166	0.6376877426592488	0.16666666666666666
2	2	low_11	0.101	0.35128763367544563	0.2222222222222222
3	3	low_12	0.337	-0.006712502554307876	0.2777777777777778
4	4	low_13	-0.456	-0.006712502554307876	0.1111111111111111
5	5	low_14	0.782	-0.7585127886367906	0.3888888888888889
6	6	low_15	0.098	0.279687606429495	0.2222222222222222
7	7	low_16	-0.454	0.10068753831461817	0.1111111111111111
8	8	low_17	-0.773	0.279687606429495	0.05555555555555555
9	9	low_18	0.1	1.031487892511977	0.2222222222222222
10	10	low_19	-1.14	-0.7585127886367906	0.0
11	11	low_2	0.097	-0.006712502554307876	0.2222222222222222
12	12	low_20	-0.777	1.4968880696106561	0.05555555555555555
13	13	low_21	-0.458	-0.04251251617728324	0.1111111111111111
14	14	low_22	-0.784	1.2104879606268537	0.05555555555555555
15	15	low_23	1.379	0.9598878652660263	0.5555555555555556
16	16	low_24	0.098	0.8166878107741252	0.2222222222222222
17	17	low_25	0.099	-0.2573125979151353	0.2222222222222222
18	18	low_26	-0.454	-0.5795127205219135	0.1111111111111111
19	19	low_27	-0.165	0.888287838020076	0.16666666666666666
20	20	low_28	-0.455	0.6376877426592488	0.1111111111111111
21	21	low_29	0.781	0.10068753831461817	0.3888888888888889
22	22	low_3	-0.452	-0.7943128022597657	0.1111111111111111
23	23	low_30	0.786	0.4944876881673468	0.3888888888888889
24	24	low_4	0.782	1.0672879061349527	0.3888888888888889
25	25	low_5	-0.776	-0.11411254342323393	0.05555555555555555
26	26	low_6	-0.457	-0.9733128703746421	0.1111111111111111
27	27	low_7	-0.164	-0.5795127205219135	0.16666666666666666
28	28	low_8	-0.167	0.709287769905199	0.16666666666666666
29	29	low_9	-0.166	-0.5795127205219135	0.16666666666666666
30	30	n_1	-0.169	-1.1881129521124942	0.16666666666666666
31	31	n_10	-0.779	-1.1881129521124942	0.05555555555555555
32	32	n_11	-0.164	-1.1881129521124942	0.16666666666666666
33	33	n_12	-0.774	-1.1881129521124942	0.05555555555555555
34	34	n_13	-0.773	-1.1881129521124942	0.05555555555555555
35	35	n_14	0.34	-1.1881129521124942	0.2777777777777778
36	36	n_15	-0.452	-1.1881129521124942	0.1111111111111111
37	37	n_16	-0.456	-1.1881129521124942	0.1111111111111111
38	38	n_17	-0.46	-1.1881129521124942	0.1111111111111111
39	39	n_18	0.341	-0.9017128431286918	0.2777777777777778
40	40	n_2	-0.454	-1.1881129521124942	0.1111111111111111
41	41	n_20	-0.166	-1.1881129521124942	0.16666666666666666
42	42	n_21	-0.457	-1.1881129521124942	0.1111111111111111
43	43	n_22	-0.168	-0.7585127886367906	0.16666666666666666
44	44	n_23	-1.138	-1.0807129112435685	0.0
45	45	n_24	-0.776	-1.152312938489519	0.05555555555555555
46	46	n_25	-0.17	-0.43631266603001223	0.16666666666666666
47	47	n_26	0.101	-0.5437127068989381	0.2222222222222222
48	48	n_27	-0.454	-0.9733128703746421	0.1111111111111111
49	49	n_28	-0.455	-1.152312938489519	0.1111111111111111
50	50	n_29	-0.162	-1.1881129521124942	0.16666666666666666
51	51	n_3	0.096	-1.1881129521124942	0.2222222222222222
52	52	n_30	-0.774	-1.1881129521124942	0.05555555555555555
53	53	n_32	-0.778	-0.7585127886367906	0.05555555555555555
54	54	n_33	-0.454	-1.0449128976205928	0.1111111111111111
55	55	n_34	-0.462	-1.116512924866544	0.1111111111111111
56	56	n_35	-0.458	-1.1881129521124942	0.1111111111111111
57	57	n_36	-0.455	-1.1881129521124942	0.1111111111111111
58	58	n_4	-0.165	-0.7943128022597657	0.16666666666666666
59	59	n_5	-0.777	-1.1881129521124942	0.05555555555555555
60	60	n_6	0.097	-1.1881129521124942	0.2222222222222222
61	61	n_7	-0.785	-1.1881129521124942	0.05555555555555555
62	62	n_8	-0.165	-1.1881129521124942	0.16666666666666666
63	63	n_9	-1.142	-0.5795127205219135	0.0
64	64	y_1	1.569	1.568488096856608	0.6111111111111112
65	65	y_10	-0.165	1.2104879606268537	0.16666666666666666
66	66	y_11	-0.164	0.45868767454437165	0.16666666666666666
67	67	y_12	0.34	0.7450877835281742	0.2777777777777778
68	68	y_13	0.779	0.709287769905199	0.3888888888888889
69	69	y_14	0.1	0.17228756556056887	0.2222222222222222
70	70	y_15	1.575	1.1388879333809034	0.6111111111111112
71	71	y_16	0.568	0.02908751106866747	0.3333333333333333
72	72	y_17	1.188	1.1030879197579284	0.5
73	73	y_18	-0.455	0.9598878652660263	0.1111111111111111
74	74	y_19	-0.453	2.1770883284471885	0.1111111111111111
75	75	y_2	1.767	1.0672879061349527	0.6666666666666666
76	76	y_20	0.782	1.9622882467093357	0.3888888888888889
77	77	y_21	0.341	0.13648755193759352	0.2777777777777778
78	78	y_22	0.779	0.6376877426592488	0.3888888888888889
79	79	y_23	-0.163	1.5326880832336327	0.16666666666666666
80	80	y_24	1.956	1.2820879878728053	0.7222222222222222
81	81	y_25	0.339	0.4944876881673468	0.2777777777777778
82	82	y_26	-0.162	-0.6153127341448887	0.16666666666666666
83	83	y_27	1.955	1.4968880696106561	0.7222222222222222
84	84	y_28	-0.781	1.675888137725533	0.05555555555555555
85	85	y_29	0.564	0.5660877154132978	0.3333333333333333
86	86	y_3	1.38	1.675888137725533	0.5555555555555556
87	87	y_30	-0.165	1.3536880151187558	0.16666666666666666
88	88	y_31	0.098	0.673487756282224	0.2222222222222222
89	89	y_32	0.094	0.9598878652660263	0.2222222222222222
90	90	y_4	0.777	0.4944876881673468	0.3888888888888889
91	91	y_5	0.094	0.8166878107741252	0.2222222222222222
92	92	y_6	0.097	1.568488096856608	0.2222222222222222
93	93	y_7	1.186	1.6400881241025582	0.5
94	94	y_8	0.34	0.5660877154132978	0.2777777777777778
95	95	y_9	0.093	0.709287769905199	0.2222222222222222
