	item	RT	ACC	literate	number	list	pp	subject
4	C6.jpg	10.573645653646963	0.0	n	5	b	n_5	05
5	C10.jpg	9.918795340559884	0.0	n	5	b	n_5	05
6	D8.jpg	14.39975590098402	0.0	n	5	b	n_5	05
7	E2.jpg	10.312832906038238	0.0	n	5	b	n_5	05
8	E4.jpg	16.667533412673947	0.0	n	5	b	n_5	05
9	E9.jpg	4.600838948543243	0.0	n	5	b	n_5	05
1	A11.jpg	29.718226509961823	0.0	y	1	a	y_1	06
2	B12.jpg	24.427188132649466	1.0	y	1	a	y_1	06
3	C4.jpg	23.63844450063334	1.0	y	1	a	y_1	06
4	C12.jpg	24.81970223015378	0.0	y	1	a	y_1	06
5	D7.jpg	95.1590380466587	0.0	y	1	a	y_1	06
6	D12.jpg	74.90442424301	0.0	y	1	a	y_1	06
7	E1.jpg	14.111926678371676	1.0	y	1	a	y_1	06
8	E5.jpg	25.46075430381461	0.0	y	1	a	y_1	06
9	E7.jpg	94.35514941981093	0.0	y	1	a	y_1	06
1	A10.jpg	23.41306712180813	1.0	y	1	b	y_1	06
2	B4.jpg	9.606743949698284	1.0	y	1	b	y_1	06
3	B9.jpg	20.2908641338945	1.0	y	1	b	y_1	06
4	C6.jpg	18.30366980953113	1.0	y	1	b	y_1	06
5	C10.jpg	25.45601164107939	0.0	y	1	b	y_1	06
6	D8.jpg	31.683312586210373	1.0	y	1	b	y_1	06
7	E2.jpg	34.07003491352225	1.0	y	1	b	y_1	06
8	E4.jpg	34.190651881101076	1.0	y	1	b	y_1	06
9	E9.jpg	37.413480848626925	1.0	y	1	b	y_1	06
1	A11.jpg	26.225173959770473	0.0	n	1	a	n_1	07
2	B12.jpg	76.98605647431395	1.0	n	1	a	n_1	07
3	C4.jpg	34.195837446284706	0.0	n	1	a	n_1	07
4	C12.jpg	15.030112504507995	0.0	n	1	a	n_1	07
5	D7.jpg	14.469480657367965	0.0	n	1	a	n_1	07
6	D12.jpg	8.494030744652264	0.0	n	1	a	n_1	07
7	E1.jpg	7.0577231977076735	0.0	n	1	a	n_1	07
8	E5.jpg	11.878902039548848	1.0	n	1	a	n_1	07
9	E7.jpg	12.353801262011983	0.0	n	1	a	n_1	07
1	A10.jpg	11.685114587322461	0.0	n	1	b	n_1	07
2	B4.jpg	14.075397963868456	0.0	n	1	b	n_1	07
3	B9.jpg	9.216913200842098	0.0	n	1	b	n_1	07
4	C6.jpg	9.530719114743988	0.0	n	1	b	n_1	07
5	C10.jpg	9.625544814596651	0.0	n	1	b	n_1	07
6	D8.jpg	20.057606495145592	0.0	n	1	b	n_1	07
7	E2.jpg	12.064617158845069	0.0	n	1	b	n_1	07
8	E4.jpg	7.702234611060701	0.0	n	1	b	n_1	07
9	E9.jpg	5.837854342229548	1.0	n	1	b	n_1	07
1	A11.jpg	49.60388191597214	0.0	y	5	a	y_5	08
2	B12.jpg	27.587169473077665	1.0	y	5	a	y_5	08
3	C4.jpg	15.144702046598468	0.0	y	5	a	y_5	08
4	C12.jpg	16.364880569834895	0.0	y	5	a	y_5	08
5	D7.jpg	22.198571036088648	1.0	y	5	a	y_5	08
6	D12.jpg	12.803828264990445	0.0	y	5	a	y_5	08
7	E1.jpg	14.409979001557074	0.0	y	5	a	y_5	08
8	E5.jpg	21.47327540864353	0.0	y	5	a	y_5	08
9	E7.jpg	20.558131487048737	0.0	y	5	a	y_5	08
1	A10.jpg	28.70533738120048	0.0	y	5	b	y_5	08
2	B4.jpg	7.315108343376777	0.0	y	5	b	y_5	08
3	B9.jpg	6.525903212655977	1.0	y	5	b	y_5	08
4	C6.jpg	9.57216057041842	0.0	y	5	b	y_5	08
5	C10.jpg	8.713101780451325	0.0	y	5	b	y_5	08
6	D8.jpg	6.05210993426499	1.0	y	5	b	y_5	08
7	E2.jpg	8.925245623433511	0.0	y	5	b	y_5	08
8	E4.jpg	5.628156553889312	0.0	y	5	b	y_5	08
9	E9.jpg	5.996814979484043	0.0	y	5	b	y_5	08
1	A11.jpg	22.40576431982845	0.0	y	6	a	y_6	09
2	B12.jpg	10.568240482829424	0.0	y	6	a	y_6	09
3	C4.jpg	22.13282386512219	1.0	y	6	a	y_6	09
4	C12.jpg	32.12360148828884	0.0	y	6	a	y_6	09
5	D7.jpg	17.872111701020913	0.0	y	6	a	y_6	09
6	D12.jpg	20.259133836509136	0.0	y	6	a	y_6	09
7	E1.jpg	14.56516284531972	0.0	y	6	a	y_6	09
8	E5.jpg	11.259780971082366	0.0	y	6	a	y_6	09
9	E7.jpg	22.529605292482298	0.0	y	6	a	y_6	09
1	A10.jpg	12.9522753446181	1.0	y	6	b	y_6	09
2	B4.jpg	5.601702648753417	1.0	y	6	b	y_6	09
3	B9.jpg	5.715137600182061	0.0	y	6	b	y_6	09
4	C6.jpg	17.338428690796714	0.0	y	6	b	y_6	09
5	C10.jpg	13.353602112321825	0.0	y	6	b	y_6	09
6	D8.jpg	9.36964229707155	1.0	y	6	b	y_6	09
7	E2.jpg	6.7984773494790725	0.0	y	6	b	y_6	09
8	E4.jpg	15.714804105027726	0.0	y	6	b	y_6	09
9	E9.jpg	5.939401135099615	0.0	y	6	b	y_6	09
1	A11.jpg	21.926515930321326	1.0	y	7	a	y_7	10
2	B12.jpg	99.32392605520364	1.0	y	7	a	y_7	10
3	C4.jpg	96.046949540103	1.0	y	7	a	y_7	10
4	C12.jpg	49.892858575572966	0.0	y	7	a	y_7	10
5	D7.jpg	59.67171426360074	0.0	y	7	a	y_7	10
6	D12.jpg	100.76767547017698	0.0	y	7	a	y_7	10
7	E1.jpg	29.753791269373327	1.0	y	7	a	y_7	10
8	E5.jpg	206.7258056738665	0.0	y	7	a	y_7	10
9	E7.jpg	44.766484550666064	0.0	y	7	a	y_7	10
1	A10.jpg	33.099307451331704	1.0	y	7	b	y_7	10
2	B4.jpg	11.325734923766506	1.0	y	7	b	y_7	10
3	B9.jpg	17.209276043311547	1.0	y	7	b	y_7	10
4	C6.jpg	17.428546652721707	1.0	y	7	b	y_7	10
5	C10.jpg	25.753629589589767	0.0	y	7	b	y_7	10
6	D8.jpg	25.54305970279347	0.0	y	7	b	y_7	10
7	E2.jpg	68.88816783577204	1.0	y	7	b	y_7	10
8	E4.jpg	102.25274399768749	0.0	y	7	b	y_7	10
9	E9.jpg	47.29050939667468	0.0	y	7	b	y_7	10
1	A11.jpg	65.9619991725558	0.0	y	8	a	y_8	11
2	B12.jpg	37.140252147524734	0.0	y	8	a	y_8	11
