	index	pp	span_intercept	reading_z	raw_span_mean
0	0	low_1	0.473	-0.31529230811453124	4.5
1	1	low_10	0.023	0.6471209260952095	3.5
2	2	low_11	0.468	0.3619614492923234	4.5
3	3	low_12	0.247	0.00551210328871569	4.0
4	4	low_13	0.688	0.00551210328871569	5.0
5	5	low_14	0.466	-0.7430315233188605	4.5
6	6	low_15	0.246	0.2906715800916019	4.0
7	7	low_16	0.024	0.112446907089798	3.5
8	8	low_17	0.468	0.2906715800916019	4.5
9	9	low_18	-0.644	1.039215206699178	2.0
10	10	low_19	-1.084	-0.7430315233188605	1.0
11	11	low_2	0.692	0.00551210328871569	5.0
12	12	low_20	0.245	1.502599356503868	4.0
13	13	low_21	0.244	-0.03013283131164508	4.0
14	14	low_22	-0.643	1.2174398797009818	2.0
15	15	low_23	0.469	0.9679253374984564	4.5
16	16	low_24	-0.421	0.8253455990970134	2.5
17	17	low_25	-0.64	-0.2440024389138097	2.0
18	18	low_26	0.022	-0.5648068503170567	3.5
19	19	low_27	0.024	0.896635468297735	3.5
20	20	low_28	-0.198	0.6471209260952095	3.0
21	21	low_29	0.023	0.112446907089798	3.5
22	22	low_3	-0.419	-0.7786764579192212	2.5
23	23	low_30	0.471	0.5045411876937664	4.5
24	24	low_4	0.91	1.0748601412995389	5.5
25	25	low_5	-0.196	-0.10142270051236663	3.0
26	26	low_6	-0.865	-0.9569011309210251	1.5
27	27	low_7	-0.195	-0.5648068503170567	3.0
28	28	low_8	-0.416	0.7184107952959311	2.5
29	29	low_9	0.246	-0.5648068503170567	4.0
30	30	n_1	0.024	-1.1707707385231898	3.5
31	31	n_10	0.249	-1.1707707385231898	4.0
32	32	n_11	-0.202	-1.1707707385231898	3.0
33	33	n_12	-0.861	-1.1707707385231898	1.5
34	34	n_13	-0.864	-1.1707707385231898	1.5
35	35	n_14	0.243	-1.1707707385231898	4.0
36	36	n_15	0.912	-1.1707707385231898	5.5
37	37	n_16	-0.191	-1.1707707385231898	3.0
38	38	n_17	-0.646	-1.1707707385231898	2.0
39	39	n_18	-1.087	-0.8856112617203036	1.0
40	40	n_19	-0.201	-1.1707707385231898	3.0
41	41	n_2	-1.085	-1.1707707385231898	1.0
42	42	n_20	0.021	-1.1707707385231898	3.5
43	43	n_21	0.026	-1.1707707385231898	3.5
44	44	n_22	-0.423	-0.7430315233188605	2.5
45	45	n_23	-1.529	-1.0638359347221074	0.0
46	46	n_24	0.023	-1.135125803922829	3.5
47	47	n_25	-0.864	-0.4222271119156136	1.5
48	48	n_26	0.025	-0.5291619157166959	3.5
49	49	n_27	0.021	-0.9569011309210251	3.5
50	50	n_28	-1.085	-1.135125803922829	1.0
51	51	n_29	-0.861	-1.1707707385231898	1.5
52	52	n_3	-0.864	-1.1707707385231898	1.5
53	53	n_30	-0.198	-1.1707707385231898	3.0
54	54	n_32	0.471	-0.7430315233188605	4.5
55	55	n_33	-0.644	-1.0281910001217467	2.0
56	56	n_34	0.025	-1.0994808693224682	3.5
57	57	n_35	-1.087	-1.1707707385231898	1.0
58	58	n_36	-0.199	-1.1707707385231898	3.0
59	59	n_4	0.025	-0.7786764579192212	3.5
60	60	n_5	-0.644	-1.1707707385231898	2.0
61	61	n_6	-0.863	-1.1707707385231898	1.5
62	62	n_7	0.469	-1.1707707385231898	4.5
63	63	n_8	-0.192	-1.1707707385231898	3.0
64	64	n_9	-0.196	-0.5648068503170567	3.0
65	65	y_1	0.247	1.5738892257045896	4.0
66	66	y_10	0.024	1.2174398797009818	3.5
67	67	y_11	-0.197	0.4688962530934057	3.0
68	68	y_12	-1.527	0.7540557298962919	0.0
69	69	y_13	0.247	0.7184107952959311	4.0
70	70	y_14	0.473	0.18373677629051954	4.5
71	71	y_15	0.69	1.1461500105002604	5.0
72	72	y_16	0.242	0.04115703788907646	4.0
73	73	y_17	0.466	1.1105050758998996	4.5
74	74	y_18	0.246	0.9679253374984564	4.0
75	75	y_19	0.466	2.1798531139107227	4.5
76	76	y_2	0.688	1.0748601412995389	5.0
77	77	y_20	0.913	1.965983506308558	5.5
78	78	y_21	0.247	0.14809184169015877	4.0
79	79	y_22	0.69	0.6471209260952095	5.0
80	80	y_23	0.248	1.538244291104229	4.0
81	81	y_24	0.689	1.2887297489017033	5.0
82	82	y_25	0.468	0.5045411876937664	4.5
83	83	y_26	0.246	-0.6004517849174174	4.0
84	84	y_27	0.914	1.502599356503868	5.5
85	85	y_28	0.465	1.6808240295056718	4.5
86	86	y_29	0.472	0.575831056894488	4.5
87	87	y_3	0.912	1.6808240295056718	5.5
88	88	y_30	0.689	1.3600196181024249	5.0
89	89	y_31	0.248	0.6827658606955703	4.0
90	90	y_32	0.246	0.9679253374984564	4.0
91	91	y_4	0.468	0.5045411876937664	4.5
92	92	y_5	0.248	0.8253455990970134	4.0
93	93	y_6	0.467	1.5738892257045896	4.5
94	94	y_7	0.249	1.6451790949053111	4.0
95	95	y_8	0.467	0.575831056894488	4.5
96	96	y_9	0.025	0.7184107952959311	3.5
