	trialNo	RT	ACC	literate	number	visual_noise	learn_trial	category	item	trial	pp	subject
11	1.0	3.216228252	1.0	low	1	no_noise	learn	bikes	bikes_1.0	0	low_1	01
12	2.0	11.06114314	1.0	low	1	no_noise	learn	bikes	bikes_2.0	1	low_1	01
13	3.0	4.828617183	1.0	low	1	no_noise	learn	bikes	bikes_3.0	2	low_1	01
18	4.0	7.58054357	0.0	low	1	no_noise	learn	bikes	bikes_4.0	3	low_1	01
19	5.0	4.3360463760000005	1.0	low	1	no_noise	learn	bikes	bikes_5.0	4	low_1	01
20	6.0	5.1418844560000005	0.0	low	1	no_noise	learn	bikes	bikes_6.0	5	low_1	01
25	7.0	5.9155254489999995	1.0	low	1	no_noise	learn	bikes	bikes_7.0	6	low_1	01
26	8.0	4.828939328	1.0	low	1	no_noise	learn	bikes	bikes_8.0	7	low_1	01
27	9.0	3.687132268	1.0	low	1	no_noise	learn	bikes	bikes_9.0	8	low_1	01
32	10.0	2.934541735	1.0	low	1	no_noise	learn	bikes	bikes_10.0	9	low_1	01
33	11.0	2.70681189	1.0	low	1	no_noise	learn	bikes	bikes_11.0	10	low_1	01
34	12.0	4.1248346730000005	1.0	low	1	no_noise	learn	bikes	bikes_12.0	11	low_1	01
39	13.0	6.185225737000001	0.0	low	1	no_noise	learn	bikes	bikes_13.0	12	low_1	01
40	14.0	6.657744125	1.0	low	1	no_noise	learn	bikes	bikes_14.0	13	low_1	01
41	15.0	4.194215814	1.0	low	1	no_noise	learn	bikes	bikes_15.0	14	low_1	01
46	16.0	2.837726393	1.0	low	1	no_noise	learn	bikes	bikes_16.0	15	low_1	01
47	17.0	3.4708181110000003	1.0	low	1	no_noise	learn	bikes	bikes_17.0	16	low_1	01
48	18.0	5.449784264	1.0	low	1	no_noise	learn	bikes	bikes_18.0	17	low_1	01
51	19.0	6.921711446000001	1.0	low	1	no_noise	no_learn	bikes	bikes_19.0	18	low_1	01
52	46.0	5.511796184	1.0	low	1	no_noise	no_learn	bikes	bikes_46.0	19	low_1	01
53	36.0	3.03319756	1.0	low	1	no_noise	no_learn	bikes	bikes_36.0	20	low_1	01
54	31.0	3.280086732	0.0	low	1	no_noise	no_learn	bikes	bikes_31.0	21	low_1	01
